,id,label,fn,valid
0,42134,cat,cifar10/train/cat/42134_cat.png,0
1,33512,deer,cifar10/train/deer/33512_deer.png,0
2,17326,frog,cifar10/train/frog/17326_frog.png,0
3,2742,bird,cifar10/train/bird/2742_bird.png,0
4,8760,cat,cifar10/train/cat/8760_cat.png,0
5,14809,truck,cifar10/train/truck/14809_truck.png,0
6,29057,airplane,cifar10/train/airplane/29057_airplane.png,0
7,21134,ship,cifar10/train/ship/21134_ship.png,0
8,43116,bird,cifar10/train/bird/43116_bird.png,0
9,965,airplane,cifar10/train/airplane/965_airplane.png,0
10,36075,dog,cifar10/train/dog/36075_dog.png,0
11,48955,deer,cifar10/train/deer/48955_deer.png,0
12,19795,cat,cifar10/train/cat/19795_cat.png,0
13,48044,ship,cifar10/train/ship/48044_ship.png,0
14,34777,deer,cifar10/train/deer/34777_deer.png,0
15,12739,frog,cifar10/train/frog/12739_frog.png,0
16,46285,deer,cifar10/train/deer/46285_deer.png,0
17,3446,bird,cifar10/train/bird/3446_bird.png,0
18,38059,dog,cifar10/train/dog/38059_dog.png,0
19,23881,frog,cifar10/train/frog/23881_frog.png,0
20,31701,deer,cifar10/train/deer/31701_deer.png,0
21,779,bird,cifar10/train/bird/779_bird.png,0
22,30402,bird,cifar10/train/bird/30402_bird.png,0
23,48244,bird,cifar10/train/bird/48244_bird.png,0
24,41755,horse,cifar10/train/horse/41755_horse.png,0
25,41064,frog,cifar10/train/frog/41064_frog.png,0
26,14707,dog,cifar10/train/dog/14707_dog.png,0
27,4333,horse,cifar10/train/horse/4333_horse.png,0
28,30940,bird,cifar10/train/bird/30940_bird.png,0
29,46719,horse,cifar10/train/horse/46719_horse.png,0
30,17491,frog,cifar10/train/frog/17491_frog.png,0
31,3544,horse,cifar10/train/horse/3544_horse.png,0
32,11634,frog,cifar10/train/frog/11634_frog.png,0
33,24542,truck,cifar10/train/truck/24542_truck.png,0
34,974,airplane,cifar10/train/airplane/974_airplane.png,0
35,12965,cat,cifar10/train/cat/12965_cat.png,0
36,32014,ship,cifar10/train/ship/32014_ship.png,0
37,43738,bird,cifar10/train/bird/43738_bird.png,0
38,22541,horse,cifar10/train/horse/22541_horse.png,0
39,47660,truck,cifar10/train/truck/47660_truck.png,0
40,9167,dog,cifar10/train/dog/9167_dog.png,0
41,36967,truck,cifar10/train/truck/36967_truck.png,0
42,4749,truck,cifar10/train/truck/4749_truck.png,0
43,34468,ship,cifar10/train/ship/34468_ship.png,0
44,9015,ship,cifar10/train/ship/9015_ship.png,0
45,25114,deer,cifar10/train/deer/25114_deer.png,0
46,28348,bird,cifar10/train/bird/28348_bird.png,0
47,29835,deer,cifar10/train/deer/29835_deer.png,0
48,22194,airplane,cifar10/train/airplane/22194_airplane.png,0
49,11975,airplane,cifar10/train/airplane/11975_airplane.png,0
50,2849,automobile,cifar10/train/automobile/2849_automobile.png,0
51,3707,frog,cifar10/train/frog/3707_frog.png,0
52,19376,bird,cifar10/train/bird/19376_bird.png,0
53,12881,automobile,cifar10/train/automobile/12881_automobile.png,0
54,6136,automobile,cifar10/train/automobile/6136_automobile.png,0
55,39004,dog,cifar10/train/dog/39004_dog.png,0
56,40078,cat,cifar10/train/cat/40078_cat.png,0
57,36096,deer,cifar10/train/deer/36096_deer.png,0
58,3264,dog,cifar10/train/dog/3264_dog.png,0
59,27962,airplane,cifar10/train/airplane/27962_airplane.png,0
60,42209,frog,cifar10/train/frog/42209_frog.png,0
61,29463,dog,cifar10/train/dog/29463_dog.png,0
62,49818,frog,cifar10/train/frog/49818_frog.png,0
63,24306,deer,cifar10/train/deer/24306_deer.png,0
64,14374,horse,cifar10/train/horse/14374_horse.png,0
65,7882,bird,cifar10/train/bird/7882_bird.png,0
66,36209,ship,cifar10/train/ship/36209_ship.png,0
67,49843,horse,cifar10/train/horse/49843_horse.png,0
68,8724,horse,cifar10/train/horse/8724_horse.png,0
69,6419,dog,cifar10/train/dog/6419_dog.png,0
70,31197,frog,cifar10/train/frog/31197_frog.png,0
71,1402,frog,cifar10/train/frog/1402_frog.png,0
72,41686,automobile,cifar10/train/automobile/41686_automobile.png,0
73,34990,horse,cifar10/train/horse/34990_horse.png,0
74,3444,automobile,cifar10/train/automobile/3444_automobile.png,0
75,26775,dog,cifar10/train/dog/26775_dog.png,0
76,4830,bird,cifar10/train/bird/4830_bird.png,0
77,44431,frog,cifar10/train/frog/44431_frog.png,0
78,15519,deer,cifar10/train/deer/15519_deer.png,0
79,14920,cat,cifar10/train/cat/14920_cat.png,0
80,29254,deer,cifar10/train/deer/29254_deer.png,0
81,28097,deer,cifar10/train/deer/28097_deer.png,0
82,40857,dog,cifar10/train/dog/40857_dog.png,0
83,14429,deer,cifar10/train/deer/14429_deer.png,0
84,28424,ship,cifar10/train/ship/28424_ship.png,0
85,31241,automobile,cifar10/train/automobile/31241_automobile.png,0
86,4081,airplane,cifar10/train/airplane/4081_airplane.png,0
87,43774,horse,cifar10/train/horse/43774_horse.png,0
88,29162,bird,cifar10/train/bird/29162_bird.png,0
89,11171,bird,cifar10/train/bird/11171_bird.png,0
90,2774,frog,cifar10/train/frog/2774_frog.png,0
91,26449,bird,cifar10/train/bird/26449_bird.png,0
92,15859,horse,cifar10/train/horse/15859_horse.png,0
93,9755,airplane,cifar10/train/airplane/9755_airplane.png,0
94,20520,cat,cifar10/train/cat/20520_cat.png,0
95,3027,deer,cifar10/train/deer/3027_deer.png,0
96,22552,automobile,cifar10/train/automobile/22552_automobile.png,0
97,34818,dog,cifar10/train/dog/34818_dog.png,0
98,18187,cat,cifar10/train/cat/18187_cat.png,0
99,335,bird,cifar10/train/bird/335_bird.png,0
100,14459,bird,cifar10/train/bird/14459_bird.png,0
101,45887,dog,cifar10/train/dog/45887_dog.png,0
102,49443,cat,cifar10/train/cat/49443_cat.png,0
103,36119,airplane,cifar10/train/airplane/36119_airplane.png,0
104,46665,bird,cifar10/train/bird/46665_bird.png,0
105,24991,cat,cifar10/train/cat/24991_cat.png,0
106,14637,ship,cifar10/train/ship/14637_ship.png,0
107,49271,dog,cifar10/train/dog/49271_dog.png,0
108,4169,truck,cifar10/train/truck/4169_truck.png,0
109,12366,cat,cifar10/train/cat/12366_cat.png,0
110,5158,horse,cifar10/train/horse/5158_horse.png,0
111,32113,cat,cifar10/train/cat/32113_cat.png,0
112,14838,frog,cifar10/train/frog/14838_frog.png,0
113,47241,horse,cifar10/train/horse/47241_horse.png,0
114,5092,ship,cifar10/train/ship/5092_ship.png,0
115,27027,ship,cifar10/train/ship/27027_ship.png,0
116,36905,automobile,cifar10/train/automobile/36905_automobile.png,0
117,8157,bird,cifar10/train/bird/8157_bird.png,0
118,25265,dog,cifar10/train/dog/25265_dog.png,0
119,31835,frog,cifar10/train/frog/31835_frog.png,0
120,43754,airplane,cifar10/train/airplane/43754_airplane.png,0
121,13932,frog,cifar10/train/frog/13932_frog.png,0
122,1449,cat,cifar10/train/cat/1449_cat.png,0
123,22900,automobile,cifar10/train/automobile/22900_automobile.png,0
124,46974,frog,cifar10/train/frog/46974_frog.png,0
125,10473,truck,cifar10/train/truck/10473_truck.png,0
126,3476,bird,cifar10/train/bird/3476_bird.png,0
127,12035,truck,cifar10/train/truck/12035_truck.png,0
128,36345,deer,cifar10/train/deer/36345_deer.png,0
129,1972,truck,cifar10/train/truck/1972_truck.png,0
130,35827,automobile,cifar10/train/automobile/35827_automobile.png,0
131,5020,frog,cifar10/train/frog/5020_frog.png,0
132,16533,truck,cifar10/train/truck/16533_truck.png,0
133,11024,dog,cifar10/train/dog/11024_dog.png,0
134,21415,cat,cifar10/train/cat/21415_cat.png,0
135,10337,ship,cifar10/train/ship/10337_ship.png,0
136,13200,horse,cifar10/train/horse/13200_horse.png,0
137,39605,ship,cifar10/train/ship/39605_ship.png,0
138,22098,deer,cifar10/train/deer/22098_deer.png,0
139,38758,dog,cifar10/train/dog/38758_dog.png,0
140,15155,deer,cifar10/train/deer/15155_deer.png,0
141,34030,ship,cifar10/train/ship/34030_ship.png,0
